date,close,high,low,open,volume,ticker,date_only,daily_return,headline_count,news_volume_log
2020-03-06,153.47642517089844,154.93927504171984,148.18543814642317,154.46432171432747,72821100,MSFT,2020-03-06,-0.028267322949551588,1,0.6931471805599453
2020-03-09,143.07489013671875,149.84772706643034,142.4859528365423,143.43585918878594,70419300,MSFT,2020-03-09,-0.06777285190606575,3,1.3862943611198906
2020-03-10,152.85899353027344,152.96348385327482,144.93677465901976,150.23725610009342,65354400,MSFT,2020-03-10,0.06838448999824664,5,1.791759469228055
2020-03-11,145.9342041015625,149.80031771147364,143.57842451456716,149.2588783066117,56371600,MSFT,2020-03-11,-0.04530181227013963,2,1.0986122886681096
2020-03-12,132.09400939941406,145.7821669760473,131.63805829012034,138.0214317979302,93226400,MSFT,2020-03-12,-0.09483859378515813,1,0.6931471805599453
2020-03-13,150.87364196777344,153.799355549348,133.68032956461008,140.1112002373312,92727400,MSFT,2020-03-13,0.14216869223474937,5,1.791759469228055
2020-03-16,128.6363525390625,141.8685592719839,128.23739349861998,132.98692659116145,87905900,MSFT,2020-03-16,-0.1473901546928974,3,1.3862943611198906
2020-03-17,139.2278289794922,140.1112352341527,128.23740173973297,132.98693513750086,81059800,MSFT,2020-03-17,0.08233657307107967,2,1.0986122886681096
2020-03-18,133.3668670654297,138.68634927369683,128.25637994155176,131.08709725869974,81593200,MSFT,2020-03-18,-0.04209619554525845,8,2.1972245773362196
2020-03-19,135.5611572265625,142.62844911064573,132.03699788391367,135.61814929503072,85922700,MSFT,2020-03-19,0.016453038220177296,3,1.3862943611198906
2020-03-20,130.46963500976562,139.7312213571772,129.05426941663163,138.68631863816285,84866200,MSFT,2020-03-20,-0.03755885772122358,5,1.791759469228055
2020-03-23,129.1683349609375,133.5284186057588,125.8816652354361,130.14673789897077,78975200,MSFT,2020-03-23,-0.009973968645890063,7,2.0794415416798357
2020-03-24,140.9091339111328,142.10602543854912,134.19330215103852,136.5490663326342,82516700,MSFT,2020-03-24,0.09089533401313798,3,1.3862943611198906
2020-03-25,139.56027221679688,146.59908341404636,137.20450796995928,141.45059151845882,75638200,MSFT,2020-03-25,-0.009572563941714574,4,1.6094379124341003
2020-03-26,148.2899169921875,148.81236851080732,140.93763483465182,140.96613087253797,64568100,MSFT,2020-03-26,0.06255107300041485,2,1.0986122886681096
2020-03-27,142.20101928710938,147.1310370046496,141.7260659731949,144.1483307730437,57042300,MSFT,2020-03-27,-0.041060766831496065,4,1.6094379124341003
2020-03-30,152.20355224609375,152.55502759461282,142.4955042449224,144.8037851504322,63420300,MSFT,2020-03-30,0.07034079649449532,5,1.791759469228055
2020-03-31,149.80979919433594,156.52563234720105,148.71739774047174,151.4151294187409,77927200,MSFT,2020-03-31,-0.015727313958398437,6,1.9459101490553132
2020-04-01,144.49032592773438,149.84779977411256,143.26495251632153,145.33574241165908,57969900,MSFT,2020-04-01,-0.03550817967322051,5,1.791759469228055
2020-04-02,147.48248291015625,147.69146350670735,142.8279467020778,144.25280649978632,49630700,MSFT,2020-04-02,0.02070835513180569,1,0.6931471805599453
2020-04-03,146.1241455078125,149.4963171018683,144.5662991410881,147.33053104311554,41243300,MSFT,2020-04-03,-0.009210160932612066,5,1.791759469228055
2020-04-06,156.99102783203125,158.1594085938362,149.68624562051193,152.28899425920676,67111700,MSFT,2020-04-06,0.07436746532514538,4,1.6094379124341003
2020-04-07,155.30027770996094,161.48416614859832,155.08178869624203,161.0947008574595,62769000,MSFT,2020-04-07,-0.010769724521322854,6,1.9459101490553132
2020-04-08,156.8580780029297,158.32092775680474,155.30972564119622,157.3710211779595,48318200,MSFT,2020-04-08,0.010030891869221792,7,2.0794415416798357
2020-04-09,156.8676300048828,158.98591840256336,155.14830077888897,158.02651762025215,51385100,MSFT,2020-04-09,6.0895824268270005e-05,4,1.6094379124341003
2020-04-13,157.21905517578125,157.2760617539971,154.16986273762387,156.11717440218635,41905300,MSFT,2020-04-13,0.002240265699733568,5,1.791759469228055
2020-04-14,164.99876403808594,165.04626226424094,159.58429962815816,160.53420617356386,52874300,MSFT,2020-04-14,0.04948324395924186,3,1.3862943611198906
2020-04-15,163.26998901367188,164.8753338600931,160.76223558628584,162.62404483836073,40940800,MSFT,2020-04-15,-0.010477502873991296,3,1.3862943611198906
2020-04-16,168.1714630126953,168.3994458213664,164.23885015327437,165.5687281288851,50479600,MSFT,2020-04-16,0.030020667169965876,8,2.1972245773362196
